international_code,name,city,airport_id
LIL,Aéroport de Lille – Lesquin,Lille,1
NCE,Aéroport de Nice-Côte d’Azur,Nice,2
MRS,Aéroport Marseille Provence,Marseille,3
BOD,Aéroport de Bordeaux – Mérignac,Bordeaux,4
TLS,Aéroport Toulouse-Blagnac,Toulouse,5
MPL,Aéroport de Montpellier-Méditerranée,Montpellier,6
ORY,Aéroport Paris-Orly,Paris-Orly,7
NTE,Aéroport Nantes Atlantique,Nantes,8
SXB,Aéroport de Strasbourg-Entzheim,Strasbourg,9
CDG,Aéroport Paris-Charles-de-Gaulle,Paris-Roissy,10
RNS,Aéroport de Rennes – Saint-Jacques,Rennes,11
LYS,Aéroport de Lyon-Saint-Exupéry,Lyon,12
