number,departure_airport,arrival_airport,business_class_seats,economy_class_seats,duration,departure_date
3004,1,8,111,419,224,2023-10-21T21:46:33.678Z
9215,2,6,105,417,41,2023-07-28T23:30:11.844Z
9994,3,7,102,400,332,2024-01-10T08:25:03.122Z
8205,1,7,102,401,181,2023-04-24T21:01:00.610Z
7377,4,2,108,426,53,2023-09-23T23:28:36.282Z
7817,5,4,119,409,204,2023-05-19T08:16:47.332Z
8661,6,11,114,431,223,2023-06-19T04:06:03.742Z
9107,1,11,109,412,188,2024-01-05T13:30:08.235Z
4493,5,8,108,430,207,2023-02-20T09:08:26.607Z
1857,5,7,105,427,258,2023-05-24T18:19:50.961Z
6579,7,12,118,405,193,2023-03-01T00:13:30.702Z
3737,2,4,113,406,99,2023-09-27T17:55:59.218Z
1202,5,11,118,416,305,2023-09-09T13:04:20.862Z
8605,7,2,112,399,245,2023-10-20T18:29:23.787Z
6156,8,6,113,404,52,2024-01-09T04:21:25.376Z
7471,3,11,120,402,301,2023-04-01T15:31:06.047Z
3580,3,6,108,405,61,2023-03-24T11:44:08.702Z
7220,2,11,111,428,356,2023-10-23T02:12:50.537Z
1769,2,12,109,407,51,2023-12-06T04:43:33.170Z
4766,8,11,105,402,101,2023-10-20T07:38:54.530Z
3300,4,9,119,399,232,2023-11-25T11:17:10.746Z
6694,1,8,122,422,282,2023-01-31T22:20:58.641Z
3918,1,11,105,413,42,2023-09-09T16:27:01.559Z
3136,9,1,115,417,340,2023-11-26T23:43:46.633Z
1253,10,5,101,426,196,2023-09-27T15:15:57.380Z
7991,6,8,101,428,279,2023-03-30T02:23:27.899Z
5308,10,7,106,425,70,2023-08-24T12:16:02.942Z
8449,5,4,106,426,248,2023-12-26T06:31:33.401Z
7784,11,2,117,413,278,2023-06-03T01:48:15.907Z
9606,7,8,101,432,69,2023-02-03T05:35:18.357Z
7486,7,10,105,399,201,2023-08-07T06:48:45.815Z
2309,5,1,119,399,72,2023-09-08T08:06:52.935Z
3058,5,9,115,424,317,2023-01-11T11:30:50.027Z
3624,8,2,105,429,227,2023-08-23T02:46:58.016Z
6959,12,10,109,404,199,2023-03-23T12:49:37.597Z
4520,3,5,120,410,338,2023-09-09T00:09:35.980Z
6775,9,4,114,414,171,2023-06-17T01:28:21.437Z
8092,7,1,100,419,145,2023-10-16T07:22:47.137Z
3752,1,12,122,408,155,2023-11-02T13:38:17.495Z
1285,5,1,111,410,293,2023-03-07T12:57:57.102Z
6059,9,5,122,422,338,2024-01-24T13:20:27.586Z
1273,12,4,119,422,312,2024-01-22T22:01:03.131Z
7391,4,9,104,408,165,2023-11-27T20:31:09.805Z
3713,5,9,112,417,356,2023-12-09T03:27:54.351Z
5738,10,2,99,401,107,2023-06-23T17:38:01.027Z
4236,8,11,103,422,261,2023-11-07T09:12:45.030Z
6293,10,2,122,423,251,2024-01-04T09:31:04.886Z
2843,4,7,109,402,235,2023-11-24T14:40:42.598Z
2406,9,10,114,410,292,2023-08-06T20:27:09.027Z
3443,3,2,116,409,236,2023-02-03T22:18:39.313Z
8393,4,2,116,432,135,2023-06-07T00:16:31.896Z
6812,3,9,118,421,111,2023-07-25T10:15:38.720Z
8529,2,9,115,406,44,2023-06-29T23:26:12.565Z
3757,1,4,111,416,342,2023-07-12T10:13:22.466Z
1494,9,7,101,399,67,2023-02-14T20:46:52.639Z
6031,3,5,99,426,277,2024-01-29T00:38:16.531Z
9717,10,1,116,422,328,2024-01-30T13:48:43.715Z
9325,11,1,108,428,196,2023-06-09T09:41:46.300Z
8015,4,10,104,421,236,2023-11-23T21:33:08.711Z
3413,10,6,115,423,327,2023-07-09T17:41:44.802Z
8217,8,10,111,404,85,2023-10-09T12:12:14.463Z
8619,12,8,110,404,127,2023-12-22T10:19:49.933Z
7072,12,4,114,423,81,2023-05-12T05:56:28.879Z
5204,5,10,107,418,204,2023-07-10T04:52:25.543Z
2097,2,7,118,426,257,2023-11-19T17:33:18.727Z
7825,12,1,100,417,126,2023-09-05T01:43:25.419Z
8156,7,12,116,414,249,2023-07-25T12:35:15.749Z
8270,5,12,109,406,187,2023-08-29T17:44:19.964Z
2613,1,7,113,410,276,2024-01-01T20:59:21.511Z
6516,10,9,104,416,217,2023-03-12T20:38:17.911Z
3757,12,4,103,418,243,2023-09-25T11:58:43.777Z
5886,1,6,104,412,316,2023-06-18T16:24:18.657Z
8731,7,2,107,419,294,2023-11-17T15:25:57.735Z
1777,1,11,106,411,184,2023-11-06T16:05:21.376Z
5604,5,7,120,405,358,2023-08-20T21:09:49.157Z
8455,3,11,101,409,109,2023-11-29T08:05:52.736Z
3810,1,9,115,409,319,2024-01-30T21:45:33.893Z
3466,10,4,115,430,30,2023-04-12T07:16:15.196Z
6404,6,8,105,417,131,2023-01-11T13:16:23.101Z
8238,1,4,99,429,201,2023-02-17T12:19:56.332Z
5576,6,11,113,417,240,2023-08-08T16:04:59.265Z
7709,10,7,112,427,52,2023-10-04T14:53:27.903Z
4415,6,7,121,400,315,2023-06-27T18:46:23.701Z
5038,1,7,103,422,222,2023-05-12T16:06:26.627Z
2626,9,7,104,432,225,2023-07-12T03:47:32.631Z
5793,8,2,123,402,298,2023-02-27T20:37:56.715Z
8228,3,9,113,408,153,2023-01-19T06:25:17.791Z
4293,11,3,123,407,86,2024-01-30T10:22:08.117Z
2781,10,7,112,401,235,2023-03-29T03:28:58.748Z
2943,5,2,108,432,225,2023-12-03T21:28:39.565Z
3963,8,6,108,426,219,2023-04-11T15:34:52.851Z
